OBJECTID;polyType;polyTypeId;regionName;regionId;bioreg;soilType;distCoast;x_int;y_int
1;dryGrass;3;NordJyl;1;CON;ML;0.0000000;566660;6282550
2;heathland;1;SjLolFal;4;CON;HG;100.0000000;698090;6115640
3;dryGrass;3;OestJylFyn;3;CON;MSG;6200.0000000;528940;6090440
4;dryGrass;3;NordJyl;1;CON;DSG;3264.9655762;559700;6285520
5;heathland;1;VestJyl;2;ATL;ES;15731.8144531;495630;6113640
6;dryGrass;3;NordJyl;1;CON;DSG;4186.8842773;560050;6287110
7;dryGrass;3;SjLolFal;4;CON;ML;2102.3796387;723128;6188144
8;dryGrass;3;SjLolFal;4;CON;HG;200.0000000;708910;6105730
9;dryGrass;3;OestJylFyn;3;CON;HSL;223.6067963;595610;6201770
10;dryGrass;3;NordJyl;1;CON;DSG;14284.2568359;559209;6308620
11;dryGrass;3;Bornholm;5;CON;ML;2594.2243652;877430;6116348
12;dryGrass;3;NordJyl;1;CON;DL;2600.0000000;588490;6361240
13;saltmarsh;6;OestJylFyn;3;CON;ES;0.0000000;590420;6075990
14;dryGrass;3;NordJyl;1;CON;DSG;3342.1550293;559580;6285490
15;heathland;1;VestJyl;2;ATL;ES;15532.2246094;495450;6113650
16;dryGrass;3;SjLolFal;4;CON;ML;500.0000000;724300;6189820
17;saltmarsh;6;VestJyl;2;ATL;HV;200.0000000;479450;6108980
18;heathland;1;VestJyl;2;ATL;ES;400.0000000;446480;6233717
19;heathland;1;VestJyl;2;ATL;ES;1555.6348877;459970;6144210
20;dryGrass;3;OestJylFyn;3;CON;DSG;2220.3603516;594050;6230890
21;heathland;1;SjLolFal;4;CON;HSL;670.8203735;708680;6104260
22;dryGrass;3;OestJylFyn;3;CON;DSG;15472.8798828;572430;6134410
23;heathland;1;VestJyl;2;ATL;ES;400.0000000;446497;6232336
24;heathland;1;NordJyl;1;CON;MSG;4294.1821289;563530;6331450
25;dryGrass;3;SjLolFal;4;CON;SK;2184.0329590;724650;6096470
26;heathland;1;VestJyl;2;ATL;HSL;300.0000000;447887;6188808
27;saltmarsh;6;SjLolFal;4;CON;HSL;2807.1337891;638310;6175560
28;bog;2;NordJyl;1;CON;ES;1476.4822998;587160;6394380
29;heathland;1;VestJyl;2;ATL;ES;400.0000000;448192;6176999
30;dryGrass;3;VestJyl;2;ATL;ML;100.0000000;470649;6280913
31;dryGrass;3;OestJylFyn;3;CON;ML;100.0000000;601600;6162200
32;dryGrass;3;SjLolFal;4;CON;DSG;500.0000000;649410;6186510
33;dryGrass;3;NordJyl;1;CON;ML;16155.4941406;557800;6299380
34;heathland;1;VestJyl;2;ATL;DSG;300.0000000;480701;6274247
35;dryGrass;3;SjLolFal;4;CON;F;0.0000000;690374;6201389
36;forest;4;VestJyl;2;ATL;T;25453.0937500;501695;6145296
37;heathland;1;NordJyl;1;ATL;HG;223.6067963;497309;6334032
38;dryGrass;3;OestJylFyn;3;CON;MSG;6300.0000000;528950;6090390
39;dryGrass;3;OestJylFyn;3;CON;DSG;2641.9689941;595519;6231932
40;dryGrass;3;NordJyl;1;CON;ML;16640.0117188;559250;6305500
41;dryGrass;3;NordJyl;1;CON;HSL;200.0000000;568900;6383730
42;saltmarsh;6;OestJylFyn;3;CON;HSL;100.0000000;540074;6129899
43;heathland;1;VestJyl;2;ATL;ES;300.0000000;448480;6186207
44;dryGrass;3;NordJyl;1;CON;DL;5323.5327148;542781;6348500
45;bog;2;OestJylFyn;3;CON;F;35251.0976563;523159;6229053
46;dryGrass;3;OestJylFyn;3;CON;ML;4100.0000000;570650;6267330
47;extensiveField;8;SjLolFal;4;CON;SK;565.6854248;725820;6099050
48;bog;2;OestJylFyn;3;CON;F;6090.1557617;562200;6136060
