OBJECTID;polyType;polyTypeId;regionName;regionId;bioreg;soilType;distCoast;x_int;y_int
1;saltmarsh;6;OestJylFyn;3;CON;HSL;200.0000000;583100;6278030
2;saltmarsh;6;NordJyl;1;CON;HSL;0.0000000;578370;6314280
3;saltmarsh;6;OestJylFyn;3;CON;HSL;0.0000000;601320;6090460
4;saltmarsh;6;OestJylFyn;3;CON;HSL;100.0000000;600240;6090210
5;saltmarsh;6;VestJyl;2;ATL;HSL;282.8427124;470900;6126590
6;saltmarsh;6;VestJyl;2;ATL;HSL;707.1068115;453440;6151850
7;saltmarsh;6;VestJyl;2;ATL;HSL;282.8427124;453750;6152190
8;saltmarsh;6;SjLolFal;4;CON;HSL;100.0000000;643090;6121720
9;saltmarsh;6;NordJyl;1;CON;HSL;100.0000000;577970;6313560
10;saltmarsh;6;OestJylFyn;3;CON;HSL;316.2277527;600660;6090960
11;saltmarsh;6;VestJyl;2;ATL;HV;100.0000000;457422;6151528
12;saltmarsh;6;SjLolFal;4;CON;;0.0000000;631730;6080830
13;saltmarsh;6;OestJylFyn;3;CON;HSL;100.0000000;600110;6090120
14;saltmarsh;6;VestJyl;2;ATL;HV;141.4213562;478150;6135150
15;saltmarsh;6;OestJylFyn;3;CON;HSL;0.0000000;599800;6090150
16;saltmarsh;6;SjLolFal;4;CON;HSL;0.0000000;652600;6118998
17;saltmarsh;6;SjLolFal;4;CON;ML;0.0000000;634456;6077644
18;saltmarsh;6;SjLolFal;4;CON;HG;100.0000000;654323;6120073
19;saltmarsh;6;SjLolFal;4;CON;HSL;0.0000000;654210;6118567
20;saltmarsh;6;NordJyl;1;CON;HSL;100.0000000;616740;6346410
21;;;NordJyl;1;CON;;0.0000000;612370;6348400
22;saltmarsh;6;VestJyl;2;ATL;HSL;360.5551147;466650;6104740
23;saltmarsh;6;NordJyl;1;CON;;0.0000000;617020;6346380
24;;;NordJyl;1;CON;;0.0000000;612360;6348400
25;;;NordJyl;1;CON;;0.0000000;612330;6348430
26;saltmarsh;6;NordJyl;1;CON;HSL;100.0000000;616730;6346410
27;;;VestJyl;2;ATL;HSL;300.0000000;466470;6104960
28;saltmarsh;6;NordJyl;1;CON;HSL;100.0000000;616690;6346380
29;saltmarsh;6;NordJyl;1;CON;HSL;141.4213562;616710;6346480
30;saltmarsh;6;VestJyl;2;ATL;HSL;282.8427124;467550;6103370
31;saltmarsh;6;VestJyl;2;ATL;;0.0000000;478520;6123150
32;saltmarsh;6;NordJyl;1;CON;HSL;1476.4822998;622850;6346260
33;saltmarsh;6;VestJyl;2;ATL;HSL;223.6067963;467470;6103420
34;saltmarsh;6;VestJyl;2;ATL;HV;223.6067963;478690;6121160
35;saltmarsh;6;VestJyl;2;ATL;HV;0.0000000;478350;6123190
36;;;NordJyl;1;CON;;0.0000000;612510;6348220
37;saltmarsh;6;VestJyl;2;ATL;HSL;200.0000000;459020;6145980
38;saltmarsh;6;VestJyl;2;ATL;HV;0.0000000;478150;6119590
39;saltmarsh;6;VestJyl;2;ATL;HV;100.0000000;478300;6119830
40;saltmarsh;6;NordJyl;1;CON;HSL;1166.1904297;623320;6346190
41;saltmarsh;6;VestJyl;2;ATL;HV;0.0000000;478410;6123220
42;;;VestJyl;2;ATL;HSL;223.6067963;467400;6103340
43;saltmarsh;6;NordJyl;1;CON;HSL;0.0000000;616910;6346310
