OBJECTID;polyType;polyTypeId;regionName;regionId;bioreg;soilType;distCoast;x_int;y_int
1;bog;2;VestJyl;2;ATL;ES;6505.3823242;465207;6190059
2;bog;2;VestJyl;2;ATL;F;31612.8144531;503310;6173840
3;bog;2;NordJyl;1;CON;HSL;2400.0000000;618290;6350430
4;bog;2;OestJylFyn;3;CON;F;25715.7539063;523680;6197130
5;heathland;1;VestJyl;2;ATL;F;5032.8916016;464377;6191335
6;heathland;1;VestJyl;2;ATL;DSG;1166.1904297;457850;6156680
7;heathland;1;OestJylFyn;3;CON;T;33396.5585938;542650;6232010
8;heathland;1;NordJyl;1;CON;ES;1627.8820801;587480;6394480
9;heathland;1;NordJyl;1;CON;ES;1838.4776611;587810;6394500
10;heathland;1;VestJyl;2;ATL;ES;500.0000000;446849;6242728
11;heathland;1;VestJyl;2;ATL;F;4816.6376953;464187;6191436
12;bog;2;VestJyl;2;ATL;F;28376.9277344;498260;6160170
13;bog;2;VestJyl;2;ATL;F;31605.6953125;503370;6173600
14;bog;2;VestJyl;2;ATL;F;18330.8476563;496180;6096540
15;heathland;1;VestJyl;2;ATL;T;20766.3183594;474891;6170253
16;bog;2;VestJyl;2;ATL;F;31612.8144531;503340;6173840
17;heathland;1;VestJyl;2;ATL;DSG;1063.0145264;457790;6156480
18;heathland;1;VestJyl;2;ATL;DSG;1077.0329590;457700;6156700
19;heathland;1;VestJyl;2;ATL;ES;15831.6142578;495750;6113690
20;bog;2;VestJyl;2;ATL;F;31612.8144531;503290;6173840
21;bog;2;VestJyl;2;ATL;F;22005.6816406;477169;6220831
22;bog;2;NordJyl;1;ATL;ES;2758.6228027;464889;6312052
23;bog;2;VestJyl;2;ATL;F;23657.9804688;476427;6173411
24;heathland;1;NordJyl;1;ATL;ES;6140.0327148;496859;6326192
26;heathland;1;VestJyl;2;ATL;DSG;1063.0145264;457850;6156500
27;heathland;1;VestJyl;2;ATL;DSG;4229.6572266;483005;6119752
28;heathland;1;NordJyl;1;CON;HSL;2800.0000000;620070;6350260
29;bog;2;VestJyl;2;ATL;F;18880.9433594;470254;6173506
30;bog;2;OestJylFyn;3;CON;F;4632.4941406;512100;6265355
31;bog;2;VestJyl;2;ATL;F;20932.2714844;472559;6176652
32;bog;2;VestJyl;2;ATL;F;13146.1025391;474358;6200078
33;bog;2;VestJyl;2;ATL;F;20223.2539063;470743;6174907
34;heathland;1;VestJyl;2;ATL;T;17600.0000000;478808;6198801
35;bog;2;VestJyl;2;ATL;F;35193.1796875;505035;6192353
36;bog;2;VestJyl;2;ATL;F;35319.2578125;505123;6192735
37;bog;2;VestJyl;2;ATL;F;32512.9199219;493473;6203492
38;bog;2;VestJyl;2;ATL;T;18117.6718750;479348;6199757
39;bog;2;VestJyl;2;ATL;F;35213.2070313;505098;6192566
40;bog;2;VestJyl;2;ATL;F;35319.2578125;505111;6192765
41;bog;2;VestJyl;2;ATL;F;35457.1562500;505059;6192871
42;bog;2;OestJylFyn;3;CON;F;9518.9287109;510356;6259080
43;heathland;1;NordJyl;1;ATL;ES;2475.8837891;464786;6312340
45;heathland;1;NordJyl;1;ATL;HG;2952.9645996;502865;6322586
46;bog;2;NordJyl;1;ATL;HSL;5503.6352539;496725;6324376
47;heathland;1;NordJyl;1;ATL;ES;3500.0000000;465839;6312010
48;heathland;1;NordJyl;1;ATL;ES;2906.8884277;465252;6312199
49;bog;2;NordJyl;1;ATL;ES;4172.5292969;465568;6310700
50;bog;2;NordJyl;1;ATL;ML;3828.8378906;464684;6310377
51;meadow;0;NordJyl;1;ATL;ML;3764.3061523;464650;6310426
52;heathland;1;NordJyl;1;ATL;ES;3220.2485352;463412;6310063
53;bog;2;NordJyl;1;ATL;ES;3676.9553223;465261;6311036
54;heathland;1;NordJyl;1;ATL;ES;2475.8837891;463991;6311541
55;heathland;1;NordJyl;1;ATL;ES;3757.6589355;476620;6325510
56;bog;2;NordJyl;1;ATL;ES;1720.4650879;473470;6324290
57;bog;2;NordJyl;1;ATL;ES;3400.0000000;475730;6324660
58;heathland;1;VestJyl;2;ATL;ES;32952.8437500;496400;6168390
59;bog;2;VestJyl;2;ATL;F;31401.4335938;491741;6169769
60;heathland;1;VestJyl;2;ATL;F;36704.9062500;517843;6227407
61;bog;2;VestJyl;2;ATL;F;17100.0000000;478570;6196000
62;bog;2;VestJyl;2;ATL;F;16688.3183594;477900;6198630
63;bog;2;OestJylFyn;3;CON;F;6177.3779297;511410;6263677
64;heathland;1;NordJyl;1;ATL;ES;2580.6975098;467890;6316740
65;bog;2;OestJylFyn;3;CON;T;41502.2890625;523973;6222920
66;;;NordJyl;1;ATL;ES;2370.6538086;475530;6326390
67;heathland;1;NordJyl;1;ATL;ES;2640.0756836;467950;6316730
68;bog;2;VestJyl;2;ATL;F;34224.2617188;491813;6173169
69;heathland;1;NordJyl;1;ATL;ES;2884.4409180;475640;6325460
70;bog;2;NordJyl;1;ATL;ES;2720.2941895;468000;6316710
71;bog;2;NordJyl;1;ATL;ES;3623.5341797;476530;6325540
72;heathland;1;NordJyl;1;ATL;ES;3757.6589355;476600;6325460
73;bog;2;VestJyl;2;ATL;F;34430.8007813;498703;6168423
74;bog;2;NordJyl;1;ATL;ES;3360.0595703;475950;6325080
75;bog;2;NordJyl;1;ATL;ES;3361.5473633;476100;6325370
76;heathland;1;NordJyl;1;ATL;ES;3891.0153809;476710;6325430
77;heathland;1;NordJyl;1;ATL;ES;3847.0769043;476720;6325440
78;heathland;1;NordJyl;1;ATL;ES;3757.6589355;476580;6325440
79;bog;2;VestJyl;2;ATL;F;16772.5976563;477980;6198530
80;bog;2;NordJyl;1;ATL;ES;3667.4240723;476570;6325500
81;bog;2;VestJyl;2;ATL;F;16688.3183594;477950;6198620
82;bog;2;VestJyl;2;ATL;F;17100.0000000;478570;6195990
83;heathland;1;NordJyl;1;ATL;ES;3847.0769043;476690;6325440
84;heathland;1;NordJyl;1;ATL;ES;2370.6538086;475530;6326380
85;bog;2;VestJyl;2;ATL;F;16688.3183594;477910;6198600
86;bog;2;VestJyl;2;ATL;F;33434.1132813;498107;6167613
87;bog;2;VestJyl;2;ATL;F;17100.0000000;478570;6195980
88;heathland;1;VestJyl;2;ATL;F;35553.4804688;515154;6228665
89;meadow;0;VestJyl;2;ATL;F;34184.9375000;494033;6171539
90;bog;2;NordJyl;1;ATL;ES;2900.0000000;471820;6320540
91;bog;2;VestJyl;2;ATL;F;7206.9409180;460489;6261381
92;bog;2;VestJyl;2;ATL;F;37642.7929688;496213;6174298
93;heathland;1;VestJyl;2;ATL;DSG;32503.8457031;495829;6168298
94;bog;2;VestJyl;2;ATL;T;36544.3554688;520738;6227570
95;heathland;1;NordJyl;1;ATL;ES;3080.5844727;476300;6326420
96;bog;2;VestJyl;2;ATL;T;36300.0000000;518632;6227805
97;heathland;1;NordJyl;1;ATL;ES;3801.3156738;476630;6325420
98;bog;2;VestJyl;2;ATL;F;19022.3554688;498720;6115570
99;heathland;1;VestJyl;2;ATL;ES;5456.1889648;451440;6166140
101;heathland;1;VestJyl;2;ATL;ES;721.1102295;464780;6137460
102;heathland;1;VestJyl;2;ATL;ES;781.0249634;464740;6137500
103;heathland;1;VestJyl;2;ATL;ES;761.5773315;464850;6137390
104;heathland;1;VestJyl;2;ATL;ES;781.0249634;464760;6137480
