OBJECTID;polyType;polyTypeId;regionName;regionId;bioreg;soilType;distCoast;x_int;y_int
-99;meadow;0;NordJyl;1;CON;ML;1746.42;535249;6307613
-99;bog;2;OestJylFyn;3;CON;F;223.60;607800;6066960
-99;bog;2;OestJylFyn;3;CON;F;223.60;607790;6066960
-99;bog;2;OestJylFyn;3;CON;F;141.42;607750;6066960
-99;bog;2;OestJylFyn;3;CON;F;141.42;607730;6066960
-99;bog;2;OestJylFyn;3;CON;F;141.42;607722;6066960
-99;lake;5;SjLolFal;4;CON;ML;12106.60;712736;6182299
-99;meadow;0;NordJyl;1;CON;F;8178.63;583527;6355307
-99;meadow;0;NordJyl;1;CON;F;8178.63;583528;6355307
-99;saltmarsh;6;NordJyl;1;ATL;HSL;300.00;452862;6287662
-99;saltmarsh;6;NordJyl;1;CON;HSL;100.00;618351;6345331
-99;heathland;1;VestJyl;2;ATL;T;18800.26;480250;6196170
-99;meadow;0;NordJyl;1;CON;HSL;100.00;533106;6311509
-99;bog;2;OestJylFyn;3;CON;F;11894.95;534922;6267711
-99;heathland;1;NordJyl;1;ATL;ES;3080.58;486170;6325380
-99;heathland;1;NordJyl;1;CON;MSG;4254.40;523730;6325380
-99;heathland;1;NordJyl;1;CON;MSG;4080.44;524220;6325380
-99;heathland;1;NordJyl;1;CON;MSG;4110.96;524110;6325380
-99;bog;2;NordJyl;1;CON;F;3413.20;580130;6325380
-99;heathland;1;VestJyl;2;ATL;ES;400.00;448102;6176219
-99;heathland;1;NordJyl;1;CON;ES;4263.80;584765;6373074
-99;bog;2;SjLolFal;4;CON;F;14588.00;686320;6156268
-99;meadow;0;OestJylFyn;3;CON;F;2816.02;538071;6146292
-99;heathland;1;NordJyl;1;ATL;HG;282.84;503130;6319300
-99;saltmarsh;6;SjLolFal;4;CON;HSL;223.60;678790;6112470
-99;bog;2;SjLolFal;4;CON;F;2418.67;691040;6112470
-99;bog;2;NordJyl;1;ATL;HSL;360.55;467196;6285478
-99;dryGrass;3;OestJylFyn;3;CON;DSG;32945.10;535697;6217833
-99;bog;2;NordJyl;1;CON;F;3551.05;546387;6275502
-99;bog;2;NordJyl;1;CON;DSG;4201.19;554795;6283294
-99;heathland;1;VestJyl;2;ATL;ES;4780.16;464437;6191802
