OBJECTID;polyType;polyTypeId;regionName;regionId;bioreg;soilType;distCoast;x_int;y_int
-99;bog;2;OestJylFyn;3;CON;F;6747.59;586307;6134605
-99;meadow;0;NordJyl;1;CON;ML;1746.42;535249;6307613
-99;saltmarsh;6;OestJylFyn;3;CON;HSL;100.00;579950;6273790
-99;field;9;NordJyl;1;CON;DSG;3640.05;550530;6273790
-99;dryGrass;3;NordJyl;1;CON;F;3590.26;550720;6273790
-99;bog;2;OestJylFyn;3;CON;F;141.42;607722;6066960
-99;bog;2;OestJylFyn;3;CON;F;141.42;607730;6066960
-99;bog;2;OestJylFyn;3;CON;F;141.42;607750;6066960
-99;bog;2;OestJylFyn;3;CON;F;223.60;607800;6066960
-99;bog;2;OestJylFyn;3;CON;F;223.60;607790;6066960
-99;saltmarsh;6;NordJyl;1;CON;HSL;100.00;618351;6345331
-99;heathland;1;VestJyl;2;ATL;T;18800.26;480250;6196170
-99;bog;2;NordJyl;1;CON;F;3413.20;580130;6325380
-99;heathland;1;NordJyl;1;ATL;ES;3080.58;486170;6325380
-99;heathland;1;NordJyl;1;CON;MSG;4080.44;524220;6325380
-99;heathland;1;NordJyl;1;CON;MSG;4254.40;523730;6325380
-99;heathland;1;NordJyl;1;CON;MSG;4110.96;524110;6325380
-99;heathland;1;VestJyl;2;ATL;ES;400.00;448102;6176219
-99;dryGrass;3;OestJylFyn;3;CON;T;1431.78;602901;6233888
-99;meadow;0;VestJyl;2;ATL;F;31865.02;497270;6166243
-99;meadow;0;VestJyl;2;ATL;F;35020.28;503887;6190090
-99;meadow;0;OestJylFyn;3;CON;F;2816.02;538071;6146292
-99;heathland;1;NordJyl;1;ATL;HG;282.84;503130;6319300
-99;bog;2;OestJylFyn;3;CON;F;500.00;590085;6227808
-99;dryGrass;3;OestJylFyn;3;CON;DSG;32945.10;535697;6217833
-99;bog;2;NordJyl;1;CON;F;3551.05;546387;6275502
-99;heathland;1;NordJyl;1;CON;HSL;1772.00;583771;6380865
-99;dryGrass;3;NordJyl;1;CON;ML;4596.73;542340;6313220
-99;dryGrass;3;NordJyl;1;CON;DSG;4951.76;542850;6313220
-99;lake;5;SjLolFal;4;CON;F;7397.97;692575;6164059
-99;forest;4;SjLolFal;4;CON;ML;583.09;660374;6120261
-99;meadow;0;OestJylFyn;3;CON;ML;4049.69;528005;6120261
-99;extensiveField;8;VestJyl;2;ATL;DSG;500.00;472288;6259447
-99;heathland;1;VestJyl;2;ATL;ES;4780.16;464387;6191802
-99;heathland;1;VestJyl;2;ATL;ES;4780.16;464437;6191802
-99;bog;2;VestJyl;2;ATL;T;18500.00;503706;6249471
-99;bog;2;OestJylFyn;3;CON;F;14871.78;583635;6124157
-99;forest;4;OestJylFyn;3;CON;HSL;100.00;540622;6171851
-99;bog;2;OestJylFyn;3;CON;F;34797.26;522610;6229520
-99;bog;2;OestJylFyn;3;CON;ML;34842.07;523020;6229520
-99;meadow;0;OestJylFyn;3;CON;DSG;8049.84;568830;6229520
-99;dryGrass;3;OestJylFyn;3;CON;DSG;2193.17;594610;6229520
-99;bog;2;NordJyl;1;ATL;ES;3676.95;465261;6311036
-99;bog;2;NordJyl;1;CON;F;3190.61;539036;6311036
-99;bog;2;OestJylFyn;3;CON;F;5186.52;542278;6161875
-99;saltmarsh;6;OestJylFyn;3;CON;HSL;0.00;601155;6161875
-99;heathland;1;VestJyl;2;ATL;MSG;15383.75;473086;6185722
-99;dryGrass;3;OestJylFyn;3;CON;ML;11400.00;541908;6185722
-99;dryGrass;3;NordJyl;1;CON;MSG;5984.14;585250;6358730
-99;dryGrass;3;NordJyl;1;CON;MSG;5885.57;585300;6358730
-99;bog;2;VestJyl;2;ATL;T;41789.59;508569;6223440
-99;saltmarsh;6;SjLolFal;4;CON;HSL;0.00;639440;6145820
-99;dryGrass;3;VestJyl;2;ATL;ES;565.68;459550;6145820
-99;dryGrass;3;VestJyl;2;ATL;ES;565.68;459510;6145820
-99;dryGrass;3;VestJyl;2;ATL;ES;500.00;459470;6145820
-99;dryGrass;3;OestJylFyn;3;CON;F;18042.44;541647;6203489
-99;heathland;1;VestJyl;2;ATL;DSG;8600.00;470800;6251183
-99;dryGrass;3;VestJyl;2;ATL;HSL;100.00;483831;6265054
-99;bog;2;NordJyl;1;CON;ES;4903.06;580666;6380393
-99;meadow;0;OestJylFyn;3;CON;ML;24622.14;551883;6231232
-99;saltmarsh;6;OestJylFyn;3;CON;F;141.42;556388;6082071
-99;meadow;0;SjLolFal;4;CON;F;19104.97;685170;6139740
-99;meadow;0;SjLolFal;4;CON;F;19156.46;685180;6139740
